CODIGO_CUM	DESCRIPCION_MATERIAL
20019105-10	DEXAMETASONA SODIO FOSFATO EQUIVALENTE A DEXAMETASONA FOSFATO
20011084-5	PREDNISOLONA
19989484-6	MONTELUKAST SODICO EQUIVALENTE A MONTELUKAST
44405-4	CEFALEXINA MONOHIDRATO COMPACTADA EQUIVALENTE A CEFALEXINA BASE ANHIDRA
19940519-15	GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA BASE
19949535-2	HIOSCINA N-BUTILBROMURO
20027702-31	LEVOTIROXINA SODICA
19993869-1	METFORMINA CLORHIDRATO
19900484-1	LOSARTAN POTASICO
20104115-5	VITAMINA D3
20080146-10	DIENOGEST MICRONIZADO
17145-18	NAPROXENO BASE
20101206-6	EMPAGLIFLOZINA
19950479-19	INSULINA GLULISINA 3.49 MG EQUIVALENTE A INSULINA
19914312-20	INSULINA GLARGINA 3.6378 MG EQUIVALENTE A
1701103	PEDIASURE LIQUIDO 220ML 
20030795-2	LEVOTIROXINA SÓDICA
19960307-1	CLOBETAZOL PROPIONATO
19952942-2	ESPORAS DE BACILLUS CLAUSII2000 MILLONES (2 MILLARDOS)
20011525-1	IBUPROFENO MICRONIZADO
19929516-5	ACETAMINOFEN
19984412-6	DIHIDROCODEINA BITARTATO
47458-7	CARBIDOPAMONOHIDRATOEQUIVALENTE A CARBIDOPA ANHIDRA
19954204-4	NITAZOXANIDA
20043747-23	VALSARTAN
20007636-2	ATORVASTATINACOMO ATORVASTATINACALCICA 43.36MG
20124854-4	ACIDO TRANEXAMICO
20175926-2	ACETATO DE MEDROXIPROGESTERONA
19949577-3	COMPLEJO DE HIDRÓXIDO DE HIERRO POLIMALTOSADO III 3.607 G EQUIVALENTE A HIERRO ELEMENTAL
20025656-6	METIMAZOL
227601-8	COLESTIRAMINA RESINA
19978181-38	PROPANOLOL CLORHIDRATO
20028514	TIRAS REACTIVAS PARA GLUCOMETRO
19950177-3	DOXICICLINA MONOHIDRATO EQUIVALENTE A DOXICICLINA
19942488-2	CLOTRIMAZOL
20104687-2	CEFTRIAXONA DISODICA 1.18400G EQUIVALENTE A CEFTRIAXONA BASE
23439-4	METRONIDAZOL BASE
39613-25	FLUCONAZOL
20066793-21	POLIETILENGLICOL 3350
20156025-3	FLUTICASONA FUROATO
20030167-4	BILASTINA
20059849-1	OLOPATADINA CLORHIDRATO 2.216MG( EQUIVALENTE A OLOPATADINA BASE)
227376-2	CARBAMAZEPINA
20044013-13	DOVIR ® TABLETAS TABLETA ORAL
20065777-4	CARBOXIMETILCELULOSA SODICA
20100456-1	FUROATO DE FLUTICASONA MICRONIZADO 200MCG (CADA DOSISPREDISPENSADA CONTIENE FUROATO DE FLUTICASONA)
20101182-6	CLORHIDRATO DE METFORMINA
19979434-14	TRAMADOL CLORHIDRATO
20001633-1	DICLOFENACO SODICO
19982562-1	LIDOCAINA
20025310-5	NIFEDIPINO
20093160-6	PREGABALINA
20600-2	PREDNISOLONA
20059262-2	INSULINA DEGLUDEC
20073367-3	EMPAGLIFLOZINA
20048287-11	PANTOPRAZOL SODICO SESQUIHIDRATO22.6 MGEQUIVALENTE A PANTOPRAZOL
216049-3	MICOFENOLATO DE MOFETILO
19983583-1	TACROLIMUS
19961372-5	PRAZOSINA CLORHIDRATO EQUIVALENTE A PRAZOSINA
20015777-8	HIDROCLOROTIAZIDA
20066117-12	ESOMEPRAZOL MAGNESICO TRIHIDRATO . EQUIVALENTE A ESOMEPRAZOL
23440-10	TIAMINA MONONITRATO
55895-6	AMLODIPINO BESILATO 6.934 MG (EQUIVALENTEAAMLODIPINO BASE)
20109639-5	CADA CÁPSULA BLANDA CONTIENE ROSUVASTATINA
20114541-3	DIACEREINA
20103719-1	TELMISARTAN
24032-6	ACETAMINOFEN DC 90 % 361.115 MG EQUIVALENTEACETAMINOFÉN
20093155-3	PREGABALINA
150422	ENSURE ALIMENTO LIQUIDO BOTELLA 220ML
19908192-4	BISOPROPOL FUMARATO
19991912-4	ROSUVASTATINA CALCICA 10.40 MG EQUIVALENTE A ROSUVASTATINA BASE
19947270-1	MOMETASONA FUROATO
20087288-2	CITICOLINA SODICA
139-CM	PAÑAL DESECHABLE CONTENT TALLA M
206777-1	LEVOTIROXINA SODICA
19962154-9	DIOSMINA MICRONIZADA Y PURIFICADA
219782-5	FLUOXETINA CLORHIDRATO 0.447 GEQUIVALENTE A FLUOXETINA
20171579-3	DUTASTERIDA
19934690-1	CALCITRIOL
139-W6	PAÑAL DESECHABLE ETAPA 6
19949476	PRESERVATIVOS LATEX
20080792-20	SULFATO FERROSO HEPTAHIDRATADO EQUIVALENTE A 60 MG DE HIERRO ELEMENTAL
19908202-1	ALBENDAZOL MICRONIZADO
20212605-3	RIFAXIMINA
19940656-1	CARBONATO DE CALCIO 90% EQUIVALENTE A CALCIO ELEMENTAL
20028103-1	DENOSUMAB
19908960-11	CAFEINA ANHIDRA
20287446	EPS-NEPRO AP (VAINILLA)
20043340-5	ROSUVASTATINA CALCICA. EQUIVALENTE A ROSUVASTATINA BASE
20093230-35	SIMETICONA 100%
20066116-19	44.5 MG DE ESOMEPRAZOL MAGNESICO TRIHIDRATO. EQUIVALENTE A ESOMEPRAZOL BASE
19943979-12	LEVOTIROXINA SODICA ANHIDRA
206166-3	HIDROXICLOROQUINA SULFATO
20023909-1	AZATIOPRINA
20109641-1	ROSUVASTATINA
42722-21	LEVOTIROXINA SODICA
32602-2	LEVOTIROXINA SODICA
20004233-2	METFORMINA CLORHIDRATO
19965195-3	VALSARTAN
20179747	AGUJA PLUMA INSULINA NORSTRAY
139	PAÑAL DESECHABLE
19992351-4	ROSUVASTATINA CALCICA EQUIVALENTE AROSUVASTATINA BASE
20103181-11	HIDROCODONA BITARTRATO DISESQUIHIDRATO EQUIVALENTE A HIDROCODONA BITARTRATO
139-CL	PAÑAL DESECHABLE CONTENT TALLA L
19963970-2	SULFATO FERROSO HEPTAHIDRATADO 803.50 MG EQUIVALENTE AHIERRO ELEMENTAL
19959398-7	ASPIRINA USP
20018219-1	CARBOXIMETILCELULOSA SÓDICA
20053339-3	TIMOLOLMALEATO6.834 MGEQUIVALENTE A TIMOLOL BASE
19925167-23	VITAMINA D3 EQUIVALENTE A 100.00U.I.
20083126-6	TIOCOLCHICOSIDO
43757-5	ENALAPRIL MALEATO
19976470-3	METOPROLOL TARTRATO
54932-15	ACIDO ASCÓRBICO COMPRESION DIRECTA 97% 536 MG
20171579-1	CLORHIDRATO DE TAMSULOSINA
20007729-11	ESTRIOL
21475-8	CLOTRIMAZOL
20068385-5	AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE
19942963-5	CARBONATO DE CALCIO 1500 MGEQUIVALENTE A CALCIO
20001633-2	DICLOFENACO SODICO
20066793-5	POLIETILENGLICOL 3350 100G/100G (100%) POL ORL FCOX160G CX1 (FARMALAX) - ECAR
20096938-3	COLECALCIFEROL (EQUIVALENTES A 0.625 MG)
20104024-1	PROPILENGLICOL
20066784-1	BRIMONIDINA TARTRATO
19960116-1	LEVOTIROXINA SODICA
19936296-14	ACIDO ACETIL SALICÍLICO
34539-1	KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO BASE
20066836-1	BROMURO DE IPRATROPIO (20MCG/INHALACIÓN)
20194043-14	ATORVASTATINA CÁLCICA TRIHIDRATO 82.727 MG EQUIVALENTE A ATORVASTATINA
20056052-22	CLOPIDOGREL BISULFATO97.88 MG EQUIVALENTE A CLOPIDROGEL BASE
19988571-4	ETINILESTRADIOL
20082633-1	CADA MILILITRO CONTIENE : 10.91 MG DE INSULINA GLARGINAQUE CORRESPONDENA 300 U DE INSULINA GLARGINA.
19927154-7	METOTREXATO
19913783-95	DIMENHIDRINATO
20011017-17	CLORHIDRATO DE TAMSULOSINA
20190439-3	DOMPERIDONA
20088760-2	ESCITALOPRAM OXALATO 12.775MG EQUIVALENTE A ESCITALOPRAM BASE
20015778-3	VALSARTAN
20009747-7	LEVOTIROXINA SODICA
20200150-1	IBUPROFENO
19937177-3	BETAMETASONA DIPROPIONATO 0.643MG EQUIVALENTE A BETAMETASONA
20196616-1	CLOBETASOL PROPIONATO
20160735-2	RISPERIDONA
19900906-21	BIPERIDENO CLORHIDRATO MICRONIZADO
20115222-3	QUETIAPINA FUMARATO (115.14 MG)EQUIVALENTE A QUETIAPINA
20003209-1	VENLAFAXINA 75 MG CAPSULAS DE LIBERACIÓN PROLONGADA CAPSULA DE LIBERACION PROLONGADA ORAL
140	PAÑITOS HUMEDOS PAQX100UNIDADES
170116	PEDIASURE CLINICAL ALIMENTO LIQUIDO BOTELLA 220ML
19980677-1	IBANDRONATO SÓDICO MONOHIDRATO EQUIVALENTE A ACIDO IBANDRONICO
19989500-3	CALCIO CITRATO 1500 MGCOMO CALCIO CITRATOTETRAHIDRATADO. (EQUIVALENTE ACALCIO ELEMENTAL)
139-W5	PAÑAL DESECHABLE ETAPA 5
20068912-2	OXALATATO DE ESCITALOPRAM 25.551 MG EQUIVALENTE A ESCITALOPRAM
20093306-6	QUETIAPINA FUMARATOEQUIVALENTE A QUETIAPINA
20096491-2	OXIMETAZOLINA HCL
206776-12	LEVOTIROXINA SÓDICA
20054318-3	CIPROFLOXACINA CLORHIDRATO EQUIVALENTE A CIPROFLOXACINA
19955212-15	N- BUTIL BROMURO DE HIOSCINA
19981546-1	PREDNISOLONA ACETATO (ESTERIL MICRONIZADA)
35662-11	ACIDO FOLICO
19992655-1	DORZOLAMIDA CLORHIDRATO 22.25 MG. (EQUIVALENTE A 20 MG. DE DORZOLAMIDA BASE)
20034355-2	MALEATO DE TIMOLOL EQUIVALENTE A TIMOLOL 5 MG
19977387-2	LEVOMEPROMAZINA CLORHIDRATO EQUIVALENTE A LEVOMEPROMAZINA BASE
20077715-45	SIMETICONA
20238691	EPS-ENSURE TWOCAL
19976921-7	TERBINAFINA CLORHIDRATO 281.27 MG EQUIVALENTE A TERBINAFINA BASE
20142074-1	TELMISARTAN
20024180-17	FENOFIBRATO MICRONIZADO
20001113-13	LEVOTIROXINASÓDICA
20015007-21	DULOXETINA CLORHIDRATO 33.6 MG EQUIVALENTE A DULOXETINA
20094117-1	PREGABALINA
20085214-1	FLUTICASONA PROPIONATO250MCG
42216-13	FUROSEMIDA
20156998-1	BROMURO DE UMECLIDINIO MICRONIZADO 74.2 MCG EQUIVALENTE A UMECLIDINIO
20104380-23	ÁCIDO TIOCTICO
19936296-11	ACIDO ACETIL SALICÍLICO
19963352-9	ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA BASE
19975048-1	SITAGLIPTINA FOSFATO MONOHIDRATADO 128.5 EQUIVALENTE A 100 DE SITAGLIPTINA BASE
20068917-4	BETAHISTINA DICLORHIDRATO
20118967-3	VITAMINA D3
20204362-1	SEMAGLUTIDA
20156587-2	LEVETIRACETAM
44969-4	CARBAMAZEPINA
19949190-5	CETIRIZINA DICLORHIDRATO
20106115-1	VITAMINAD3 (1.000.000 UI/G) 2.0 MG EQUIVALENTES A VITAMINA D3
19987944-1	LEVOTIROXINA SODICA
19941968-1	ALBENDAZOL
212764-10	HIDROCLOROTIAZIDA
20110698-3	FLAVONOIDES EXPRESADOS COMO HESPERIDINA 10%
19986156-1	FUROATO DE FLUTICASONA
19918906-2	BUDESONIDA MICRONIZADA
20132020-11	BISOPROLOL FUMARATO
19947216-9	LATANOPROST
19942216-1	CLORFENIRAMINA MALEATO
34040-3	NICOTINAMIDA
19961661-1	TACROLIMUS MONOHIDRATO 0.10230 G (EQUIVALENTE A TACROLIMUS)
19930610-2	ALENDRONATO SODICO. EQUIVALENTE A ALENDRONATO ACIDO (ACIDO ALENDRONICO)
19999947-18	TRIMEBUTINA MALEATO
20135121-1	ETORICOXIB
19977136-1	MOMETASONA FUROATO MICRONIZADA
20087761-2	LACTULOSA( 66-67 %)EQUIVALENTE A LACTULOSA
20077272-7	CAFEINA ANHIDRA
20214842	EPS-LEUSYN PRO
20075766-5	HIDROCLOROTIAZIDA
19937307-1	KETOCONAZOL
20096310-1	RELVAR® ELLIPTA® 100 MCG / 25 MCG POLVO PARA INHALACION INHALACION
20072260-1	TELMISARTÁN
19994684-1	CLOBETASOL 17 - PROPIONATO
20018905-5	ACETATO DE MEDROXIPROGESTERONA
36241-3	ENOXAPARINA (CLEXANE) 40MG SOL INYEC JERINGA PRELLENADAX0.4ML
19951790-2	HIALURONATO DE SODIO
19956212-2	MALEATO DE TIMOLOL EQUIVALENTE A TIMOLOL 5 MG
19937957-7	POLIETILENGLICOL 400 NF
20028347-3	CIPROFIBRATO
20145882-1	ETORICOXIB
150101	ENSURE CLINICAL ALIMENTO LIQUIDO BOTELLA 220ML 
20120348-6	CLORTALIDONA
20057384-4	LANSOPRAZOL
19901852-2	TELMISARTAN
20104115-1	VITAMINA D3
20113430-14	HIDROCODONA BITARTRATE
19947216-12	LATANOPROST
20007664-2	POLIETILENGLICOL 400
20173012-1	ADALAPENO
20104049-1	OMALIZUMAB
20104049-7	OMALIZUMAB
19980603-5	KETOCONAZOL
19953067-1	ACIDO RETINOICO (TRETINOINA)
19964131-1	CLINDAMICINA FOSFATO EQUIVALENTE A CLINDAMICINA
30969-5	CARBONATO DE CALCIO
19983585-1	TACROLIMUS
19940399-2	IMIPRAMINA CLORHIDRATO
20011348-2	1.5 G DE CARBONATO DE CALCIO EQUIVALENTE A CALCIO
20177839	AGUJA PARA PLUMA DE INSULINA
20068385-15	TELMISARTAN
209407-1	TIBOLONA
33496-9	AMOXICILINATRIHIDRATO PRECOMPACTADA 573.94 MG(EQUIVALENTE A AMOXICILINA BASE
20047166-80	VALSARTAN
19999393-2	NISTATINA (EQUIVALENTE A 10 MILLONNES DE U.I.)
20102484-1	BISOPROLOL FUMARATO
20177233-7	RIVAROXABAN
20104457-1	ENTRESTO® 100 MG TABLETA CON CUBIERTA ENTERICA CON PELICULA ORAL
20087855-1	SUCRALFATO
170108	INFATRINI POLVO LATA 400G
20080146-1	DIENOGEST MICRONIZADO
20093177-1	ETINILESTRADIOL
58027-1	FOSFATO DE CODEINA
20080145-3	ETINILESTRADIOL MICRONIZADO
20029762-1	METOTREXATO DISODICO EQUIVALENTE A METOTREXATO BASE
TCSI1	PRODUCTO TCSI1
20008603-9	LEVOTIROXINA SODICA
19988571-7	ETINILESTRADIOL
19928855-1	HIALURONATO DE SODIO
19944461-17	BETAMETASONA DIPROPIONATO + BETAMETASONA FOSFATO (5+2) MG/1ML
20064394-2	143 MCG DE MALEATO DE INDACATEROL EQUIVALENTE A INDACATEROL
19923975-1	ACIDO RETINOICO
56604-1	ACETATO DE ALUMINIO 0.118G/100 ML LOCION TOPICA (EXTERNA)
20056874-2	PANTOPRAZOL SÓDICO SESQUIHIDRATADO 45.10MG EQUIVALENTE A PANTOPRAZOL BASE
20251004-3	CLARITROMICINA
21475-5	CLOTRIMAZOL
20156864-2	DUPILUMAB
20003378-1	ACIDO SALICILICO
20093349-1	CLORHIDRATO DE METFORMINA
20128168-1	INSULINA GLARGINA
19929683-1	GENTAMICINA SULFATO. EQUIVALENTE A GENTAMICINA
39641-1	LORATADINA
19970832-1	CLOTRIMAZOL
20212210-2	ÁCIDO POLIACRILICO (CARBOPOL 940)
20115222-8	QUETIAPINA FUMARATO (115.14 MG)EQUIVALENTE A QUETIAPINA
20016549-76	ACIDO VALPROICO
20061399-17	NIFEDIPINO
20019920-2	ROTIGOTINA
19992351-2	ROSUVASTATINA CALCICA EQUIVALENTE AROSUVASTATINA BASE
40133-1	PERÓXIDO DEBENZOILOHIDRATADOEQUIVALENTEAPERÓXIDODEBENZOILOANHIDRO
19960905-12	VITAMINA A ACETATO
54932-1	ACIDO ASCÓRBICO COMPRESION DIRECTA 97% 536 MG
20082013-3	IVERMECTINA
20077715-16	SIMETICONA
20033133-2	ACIDO AZELÁICO
20526-2	PROCICAR CALAMINA 5% +OXIDO DE ZINC 5% CREMA 60G
31067-1	DESONIDA MICRONIZADA
219782-4	FLUOXETINA CLORHIDRATO 0.447 GEQUIVALENTE A FLUOXETINA
20086917-3	NAPROXENO SODICO EQUIVALENTE A NAPROXENO
20121038-2	TELMISARTAN
217276-2	DESONIDA
19967422-1	NISTATINAUI (EQUIVALENTE A 2272.7 MG DE NISTATINA CON POTENCIA MINIMA DE 400 UI/MG)
19961306-1	BETAHISTINA DICLORHIDRATO
1983837-5	METRONIDAZOL
19995245-2	CLOTRIMAZOL
19959553-5	ADAPALENO
19908041-1	HIALURONATO DE SODIO
19980565-1	CLORHIDRATO DE METFORMINA
20070341-4	SULFATO DE ZINC MONOHIDRATO 54.8 MG EQUIVALENTE A ZINC ELEMENTAL
20075055-6	ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA
94321-1	ATROPINA SULFATO MONOHIDRATO
19944764-1	CLOTRIMAZOL
19993161-8	ESTROGENOS CONJUGADOS
19949079-5	COMPRESSO PPY AL 68% EQUIVALENTE AFENAZOPIRIDINA.HCL
19942450-6	CLORHIDRATO DESERTRALINAEQUIVALENTE ASERTRALINA BASE
20122426-1	CLORHIDRATO DE CIPROFLOXACINO EQUIVALENTE A CIPROFLOXACINO
20109639-6	CADA CAPSULA BLANDA CONTIENE ÁCIDO FENOFÍBRICO
20060798-2	FUROATO DE MOMETASONA ANHIDRA MICRONIZADA
33492-13	AMOXICILINA TRIHIDRATO MICRONIZADA 5.739 G(EQUIVALENTE A AMOXICILINA ANHIDRA
19998840-1	CROMOGLICATO SODICO
140402	PLUMPY NUT SEMISOLIDO SOBRE 92G
20007744-3	MOSAPRIDA CITRATO DIHIDRATO (EQUIVALENTE A 5 MG DE MOSAPRIDA CITRATO)
19966420-4	NIMODIPINO
20066116-25	44.5 MG DE ESOMEPRAZOL MAGNESICO TRIHIDRATO. EQUIVALENTE A ESOMEPRAZOL BASE
32897-22	SULFATO FERROSO SECO EQUIVALENTE A SULFATO FERROSO
54889-1	BROMURO DE IPRATROPIO ANHIDRO
20068371	GUANTES DE LATEX TALLA M
20063705-1	DOMPERIDONA
20044925-2	TIZANIDINA CLORHIDRATO EQUIVALENTE A TIZANIDINA
226679-4	CARBAMAZEPINA
50476-13	CLORURO DE POTASIO
20043156-3	CARBOXIMETILCELULOSA SODICA(TIPO 7H3SXF 10-15)
20131949-1	AZITROMICINA BASE EQUIVALENTE A
20197495-1	AMPICILINA TRIHIDRATO 577 MG EQUIVALENTE A AMPICILINA
19946928-1	SULFATO DE ALUMINIO
20232639-2	SACUBITRILO SÓDICO (EQUIVALENTE A 24 MG DE SACUBITRILO)
20094212-1	BISOPROLOL FUMARATO
20093306-1	QUETIAPINA FUMARATOEQUIVALENTE A QUETIAPINA
36743-3	ALSUCRAL SUCRALFATO TABLETA X 1GR
51063-3	TRIMETOPRIM
19942966-2	CLORURO DE SODIO
19915484-2	GABAPENTINA
20120255-6	CLORTALIDONA
20121040-2	AMLODIPINO BESILATO EQUIVALENTE AAMLODIPINO
36324-5	COLCHICINA
19985876-2	NITROFURANTOINA
20086613-4	GLICERINA
20134450-1	OXITETRACICLINA CLORHIDRATO EQUIVALENTE A OXITETRACICLINA
20142729-1	ROSUVASTATINA CALCICAAMORPHA 10.400 MG EQUIVALENTE A ROSUVASTATINA
19915564-5	GLIMEPIRIDA
19992435-7	CETIRIZINA DICLORHIDRATO
19931060-1	ACETATO DEFLUOROMETALONA
53916-9	MELOXICAM
19975068-2	SITAGLIPTINA FOSFATO MONOHIDRATADA: 64.25 EQUIVALENTE A SITAGLIPTINA
20080145-1	ETINILESTRADIOL MICRONIZADO
20219371-1	BROMFENACO SODICO SESQUIHIDRATO 1.035 MG. EQUIVALENTE A BROMFENACO ACIDO
104739-2	DIVALPROATO SODICO EQUIVALENTE A 500MG DE ACIDO VALPROICO
19999405-6	ENALAPRIL MALEATO
20056956-8	APIXABAN
19908846-2	LORATADINA
19982897-2	BROMURO DE OTILONIO
19952888-1	POLIMIXINA B SULFATO
19935124-7	BECLOMETASONA DIPROPIONATO 250 MCG SOL PARA INHALACION FCO X 10 ML
19991309-1	BROMURO DE TIOTROPIO MONOHIDRATO0.62470 MGEQUIVALENTE TIOTROPIO
20013309-2	SALMETEROL XINAFOATO MICRONIZADO 72.5 MCG EQUIVALENTE A SALMETEROL
20526-3	OXIDO DE ZINC
20204361-1	SEMAGLUTIDA
20145877-1	ETORICOXIB
20194176-5	AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE
19982755-3	DESLORATADINA
20005109-7	CARVEDILOL
42932-7	SUBSALICILATO DE BISMUTO
20142721-1	IRBESARTAN
226891-3	CARBOXIMETILCELULOSA SODICA
19950378-4	CROTAMITON
19980678-1	IVERMECTINA
20011479-7	SULFATO DE ZINC MONOHIDRATADO EQUIVALENTE ADE ZINC
20160734-2	RISPERIDONA
19900906-10	BIPERIDENO CLORHIDRATO MICRONIZADO
20032093-13	WARFARINA SODICA CLATRATO EQUIVALENTE A WARFARINA SODICA
19927923-6	METOPROLOL SUCCINATO 23.75 MG EQUIVALENTE A METOPROLOL TARTRATO
19941742-2	TRAZODONA CLORHIDRATO
20227193-1	RIFAXIMINA
20188837-3	SIMETICONA EQUIVALENTE A DIMETICONA
20245897	TIRAS GLUCOMETRIA LANCETA
19902533-3	XINAFOATO DE SALMETEROL MICRONIZADO EQUIVALENTE A SALMETEROL
20001515-3	LAMOTRIGINA
20058621-1	LEVETIRACETAM
19935759-6	BECLOMETASONA DIPROPIONATO ANHIDRA
139-CS	PAÑAL DESECHABLE CONTENT TALLA S
19943015-15	LEVOTIROXINA SÓDICA
19973788-1	CLOTRIMAZOL
20085383-2	ATORVASTATINA CALCICA TRIHIDRATO 43.30MG EQUIVALENTE AATORVASTATINA
20056052-20	CLOPIDOGREL BISULFATO97.88 MG EQUIVALENTE A CLOPIDROGEL BASE
20096037-6	WARFARINA SODICA CLATRATE 5.45 MG EQUIVALENTES A WARFARINA SÓDICA
19980386-1	CEFALEXINA MONOHIDRATO EQUIVALENTE A CEFALEXINA BASE
20190800-3	SOLIFENACINA SUCCINATO
19963352-6	ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA BASE
20232639-1	VALSARTAN DISÓDICO (EQUIVALENTE A 26 MG DE VALSARTAN)
19987947-8	LEVOTIROXINA SODICA
19972124-1	DEFLAZACORT MICRONIZADO
19943741-1	TACROLIMUS MONOHIDRATO EQUIVALENTE A TACROLIMUS
48012-1	HIDROXICINA CLORHIDRATO
230357-1	AMPICILINA TRIHIDRATO 5.77 G(EQUIVALENTE A AMPICILINA BASE)
230337-1	SULFATO DE TOBRAMICINA EQUIVALENTE A 300MG DE TOBRAMICINA
19977050-3	SULTAMICILINA TOSILATO EQUIVALENTE A SULTAMICILINA BASE
43493-1	CLORFENIRAMINA MALEATO
19910693-6	INSULINA ASPARTA 100 UI
20123202	FREBINI ENERGY FIEBRE DRINK  1.5KCAL/ML FRASCO 200ML
20094553-15	CLORHIDRATO DE FEXOFENADINA
19995245-1	CLOTRIMAZOL
47085-10	TIZANIDINA CLORHIDRATO 2.287 MG EQUIVALENTE ATIZANIDINA BASE
20059844-1	LOCION DE CALADRYL SUSPENSION TOPICA TOPICA (EXTERNA)
57992-5	CLOTRIMAZOL
29523-5	CLORURO DE SODIO
45688-1	BETAMETASONA VALERATO0.061 G EQUIVALENTE A BETAMETASONA
17145-8	NAPROXENO BASE
19950452-110	ENOXAPARINA SODICA (DE ORIGEN PORCINO)
20092574-2	CICLOBENZAPRINA CLORHIDRATO
20212401-4	ÁCIDO URSODESOXICOLICO
19942450-5	CLORHIDRATO DESERTRALINAEQUIVALENTE ASERTRALINA BASE
20057639-9	PIRIDOXINA CLORHIDRATO
230345-1	SULFATO DE TOBRAMICINA EQUIVALENTE A TOBRAMICINA BASE.
20090693-1	SULFATO SODICO DE CONDROITINA
20146885-2	PENICILINA G BENZATINICA
